mesiac,druh,priemer_eur
2017-01,Predčasný starobný,395.19
2017-01,Invalidný,266.56
2017-01,Vdovský,162.13
2017-01,Vdovecký,110.19
2017-02,Starobný,399.96
2017-02,Predčasný starobný,399.34
2017-02,Invalidný,266.31
2017-02,Vdovský,162.38
2017-02,Vdovecký,110.43
2017-03,Starobný,400.26
2017-03,Predčasný starobný,405.6
2017-03,Invalidný,266.33
2017-03,Vdovský,162.47
2017-03,Vdovecký,110.43
2017-04,Starobný,400.92
2017-04,Predčasný starobný,405.66
2017-04,Invalidný,265.97
2017-04,Vdovský,162.52
2017-04,Vdovecký,110.57
2017-05,Starobný,401.08
2017-05,Predčasný starobný,404.84
2017-05,Invalidný,265.71
2017-05,Vdovský,162.54
2017-05,Vdovecký,110.64
2017-06,Starobný,401.28
2017-06,Predčasný starobný,405.28
2017-06,Invalidný,265.34
2017-06,Vdovský,162.54
2017-06,Vdovecký,110.63
2017-07,Starobný,401.54
2017-07,Predčasný starobný,404.48
2017-07,Invalidný,265.04
2017-07,Vdovský,162.47
2017-07,Vdovecký,110.57
2017-08,Starobný,401.73
2017-08,Predčasný starobný,403.84
2017-08,Invalidný,264.73
2017-08,Vdovský,162.45
2017-08,Vdovecký,110.67
2017-09,Starobný,401.96
2017-09,Predčasný starobný,404.14
2017-09,Invalidný,264.4
2017-09,Vdovský,162.4
2017-09,Vdovecký,110.68
2017-10,Starobný,402.22
2017-10,Predčasný starobný,404.19
2017-10,Invalidný,264.11
2017-10,Vdovský,162.43
2017-10,Vdovecký,110.72
2017-11,Starobný,402.45
2017-11,Predčasný starobný,403.77
2017-11,Invalidný,263.84
2017-11,Vdovský,162.6
2017-11,Vdovecký,110.75
2017-12,Starobný,402.6
2017-12,Predčasný starobný,403.25
2017-12,Invalidný,263.62
2017-12,Vdovský,162.64
2017-12,Vdovecký,110.84
2018-01,Starobný,412.25
2018-01,Predčasný starobný,409.37
2018-01,Invalidný,268.69
2018-01,Vdovský,165.88
2018-01,Vdovecký,113.73
2018-02,Starobný,412.98
2018-02,Predčasný starobný,409.61
2018-02,Invalidný,268.4
2018-02,Vdovský,166.06
2018-02,Vdovecký,114.08
2018-03,Starobný,413.48
2018-03,Predčasný starobný,411.87
2018-03,Invalidný,268.29
2018-03,Vdovský,166.09
2018-03,Vdovecký,114.16
2018-04,Starobný,414.47
2018-04,Predčasný starobný,412.26
2018-04,Invalidný,268.38
2018-04,Vdovský,166.14
2018-04,Vdovecký,114.2
2018-05,Starobný,415.09
2018-05,Predčasný starobný,411.11
2018-05,Invalidný,268.44
2018-05,Vdovský,166.14
2018-05,Vdovecký,114.26
2018-06,Starobný,415.79
2018-06,Predčasný starobný,409.67
2018-06,Invalidný,268.21
2018-06,Vdovský,166.24
2018-06,Vdovecký,114.35
2018-07,Starobný,416.34
2018-07,Predčasný starobný,407.3
2018-07,Invalidný,267.96
2018-07,Vdovský,166.24
2018-07,Vdovecký,114.37
2018-08,Starobný,417
2018-08,Predčasný starobný,406.26
2018-08,Invalidný,267.68
2018-08,Vdovský,166.19
2018-08,Vdovecký,114.43
2018-09,Starobný,417.64
2018-09,Predčasný starobný,405.53
2018-09,Invalidný,267.45
2018-09,Vdovský,166.17
2018-09,Vdovecký,114.39
2018-10,Starobný,418.25
2018-10,Predčasný starobný,407.5
2018-10,Invalidný,267.24
2018-10,Vdovský,166.27
2018-10,Vdovecký,114.54
2018-11,Starobný,418.51
2018-11,Predčasný starobný,407.94
2018-11,Invalidný,267.08
2018-11,Vdovský,166.41
2018-11,Vdovecký,114.7
2018-12,Starobný,418.69
2018-12,Predčasný starobný,407.9
2018-12,Invalidný,266.83
2018-12,Vdovský,166.58
2018-12,Vdovecký,114.79
2019-01,Starobný,429.99
2019-01,Predčasný starobný,419.46
2019-01,Invalidný,273.75
2019-01,Vdovský,171.32
2019-01,Vdovecký,118.07
2019-02,Starobný,430.63
2019-02,Predčasný starobný,422.11
2019-02,Invalidný,273.73
2019-02,Vdovský,171.56
2019-02,Vdovecký,118.32
2019-03,Starobný,430.97
2019-03,Predčasný starobný,428.11
2019-03,Invalidný,273.69
2019-03,Vdovský,171.61
2019-03,Vdovecký,118.36
2019-04,Starobný,431.99
2019-04,Predčasný starobný,429.51
2019-04,Invalidný,273.56
2019-04,Vdovský,171.61
2019-04,Vdovecký,118.43
2019-05,Starobný,432.42
2019-05,Predčasný starobný,430.1
2019-05,Invalidný,273.51
2019-05,Vdovský,171.61
2019-05,Vdovecký,118.5
2019-06,Starobný,432.92
2019-06,Predčasný starobný,430.96
2019-06,Invalidný,273.8
2019-06,Vdovský,171.63
2019-06,Vdovecký,118.57
2019-07,Starobný,433.22
2019-07,Predčasný starobný,430.98
2019-07,Invalidný,273.83
2019-07,Vdovský,171.61
2019-07,Vdovecký,118.57
2019-08,Starobný,433.42
2019-08,Predčasný starobný,431.12
2019-08,Invalidný,273.81
2019-08,Vdovský,171.62
2019-08,Vdovecký,118.7
2019-09,Starobný,433.58
2019-09,Predčasný starobný,432.81
2019-09,Invalidný,273.7
2019-09,Vdovský,171.61
2019-09,Vdovecký,118.78
2019-10,Starobný,433.88
2019-10,Predčasný starobný,432.09
2019-10,Invalidný,273.65
2019-10,Vdovský,171.72
2019-10,Vdovecký,118.91
2019-11,Starobný,434.12
2019-11,Predčasný starobný,431.21
2019-11,Invalidný,273.57
2019-11,Vdovský,171.81
2019-11,Vdovecký,119.06
2019-12,Starobný,434.23
2019-12,Predčasný starobný,429.86
2019-12,Invalidný,273.39
2019-12,Vdovský,171.87
2019-12,Vdovecký,119.11
2020-01,Starobný,449.42
2020-01,Predčasný starobný,440.87
2020-01,Invalidný,281.34
2020-01,Vdovský,177.25
2020-01,Vdovecký,122.86
2020-02,Starobný,452.98
2020-02,Predčasný starobný,441.98
2020-02,Invalidný,281.36
2020-02,Vdovský,177.6
2020-02,Vdovecký,123.24
2020-03,Starobný,453.42
2020-03,Predčasný starobný,443.8
2020-03,Invalidný,281.35
2020-03,Vdovský,177.74
2020-03,Vdovecký,123.26
2020-04,Starobný,454.56
2020-04,Predčasný starobný,444.08
2020-04,Invalidný,281.39
2020-04,Vdovský,177.85
2020-04,Vdovecký,123.39
2020-05,Starobný,455.1
2020-05,Predčasný starobný,445.13
2020-05,Invalidný,281.31
2020-05,Vdovský,177.92
2020-05,Vdovecký,123.55
2020-06,Starobný,455.76
2020-06,Predčasný starobný,446.64
2020-06,Invalidný,281.49
2020-06,Vdovský,177.96
2020-06,Vdovecký,123.54
2020-07,Starobný,456.35
2020-07,Predčasný starobný,449.57
2020-07,Invalidný,281.85
2020-07,Vdovský,178.03
2020-07,Vdovecký,123.62
2020-08,Starobný,456.88
