mesiac,druh,pocet
2014-10,Starobný,3112
2014-10,Predčasný starobný,1520
2014-10,Invalidný,2227
2014-10,Vdovský,1790
2014-10,Vdovecký,579
2014-11,Starobný,2319
2014-11,Predčasný starobný,1155
2014-11,Invalidný,2255
2014-11,Vdovský,1333
2014-11,Vdovecký,447
2014-12,Starobný,1941
2014-12,Predčasný starobný,1012
2014-12,Invalidný,2054
2014-12,Vdovský,953
2014-12,Vdovecký,298
2015-01,Starobný,1668
2015-01,Predčasný starobný,1391
2015-01,Invalidný,1600
2015-01,Vdovský,1002
2015-01,Vdovecký,337
2015-02,Starobný,2011
2015-02,Predčasný starobný,1668
2015-02,Invalidný,1635
2015-02,Vdovský,1240
2015-02,Vdovecký,418
2015-03,Starobný,2219
2015-03,Predčasný starobný,1461
2015-03,Invalidný,2136
2015-03,Vdovský,1442
2015-03,Vdovecký,511
2015-04,Starobný,1507
2015-04,Predčasný starobný,818
2015-04,Invalidný,1391
2015-04,Vdovský,908
2015-04,Vdovecký,326
2015-05,Starobný,2302
2015-05,Predčasný starobný,1144
2015-05,Invalidný,1809
2015-05,Vdovský,1338
2015-05,Vdovecký,469
2015-06,Starobný,4383
2015-06,Predčasný starobný,1513
2015-06,Invalidný,2349
2015-06,Vdovský,1558
2015-06,Vdovecký,513
2015-07,Starobný,4052
2015-07,Predčasný starobný,1372
2015-07,Invalidný,2212
2015-07,Vdovský,1413
2015-07,Vdovecký,514
2015-08,Starobný,1848
2015-08,Predčasný starobný,1285
2015-08,Invalidný,1554
2015-08,Vdovský,903
2015-08,Vdovecký,293
2015-09,Starobný,3487
2015-09,Predčasný starobný,1264
2015-09,Invalidný,1558
2015-09,Vdovský,1198
2015-09,Vdovecký,438
2015-10,Starobný,4882
2015-10,Predčasný starobný,1343
2015-10,Invalidný,1598
2015-10,Vdovský,1290
2015-10,Vdovecký,466
2015-11,Starobný,3002
2015-11,Predčasný starobný,946
2015-11,Invalidný,1289
2015-11,Vdovský,775
