mesiac,druh,priemer_eur
2024-01,Predčasný starobný,735.13
2024-01,Invalidný,388.6
2024-01,Vdovský,373.51
2024-01,Vdovecký,308.31
2024-01,Sirotský,202.73
2024-01,Invalidný do 70 %,300.76
2024-01,Invalidný nad 70 %,545.52
2024-02,Starobný,672.52
2024-02,Predčasný starobný,749.45
2024-02,Invalidný,390.12
2024-02,Vdovský,374.12
2024-02,Vdovecký,309.19
2024-02,Sirotský,204.72
2024-02,Invalidný do 70 %,301.61
2024-02,Invalidný nad 70 %,547.66
2024-03,Starobný,673.11
2024-03,Predčasný starobný,756.02
2024-03,Invalidný,391.09
2024-03,Vdovský,373.85
2024-03,Vdovecký,309.25
2024-03,Sirotský,205.08
2024-03,Invalidný do 70 %,301.87
2024-03,Invalidný nad 70 %,548.65
2024-04,Starobný,674.84
2024-04,Predčasný starobný,758.39
2024-04,Invalidný,392.08
2024-04,Vdovský,373.67
2024-04,Vdovecký,309.84
2024-04,Sirotský,203.59
2024-04,Invalidný do 70 %,302.27
2024-04,Invalidný nad 70 %,549.58
2024-05,Starobný,675.87
2024-05,Predčasný starobný,756.9
2024-05,Invalidný,392.84
2024-05,Vdovský,373.81
2024-05,Vdovecký,309.63
2024-05,Sirotský,201.76
2024-05,Invalidný do 70 %,302.54
2024-05,Invalidný nad 70 %,550.29
2024-06,Starobný,677.98
2024-06,Predčasný starobný,753.4
2024-06,Invalidný,394.62
2024-06,Vdovský,373.92
2024-06,Vdovecký,310.06
2024-06,Sirotský,201.99
2024-06,Invalidný do 70 %,303.99
2024-06,Invalidný nad 70 %,552.33
2024-07,Starobný,678.64
2024-07,Predčasný starobný,747.48
2024-07,Invalidný,395.79
2024-07,Vdovský,374.29
2024-07,Vdovecký,310.24
2024-07,Sirotský,200.58
2024-07,Invalidný do 70 %,304.9
2024-07,Invalidný nad 70 %,553.65
2024-08,Starobný,679.32
2024-08,Predčasný starobný,742.2
2024-08,Invalidný,396.76
2024-08,Vdovský,374.34
2024-08,Vdovecký,310.36
2024-08,Sirotský,200.63
2024-08,Invalidný do 70 %,305.81
2024-08,Invalidný nad 70 %,554.73
2024-09,Starobný,680.07
2024-09,Predčasný starobný,740.43
2024-09,Invalidný,397.79
2024-09,Vdovský,374.67
2024-09,Vdovecký,310.78
2024-09,Sirotský,201.6
2024-09,Invalidný do 70 %,306.87
2024-09,Invalidný nad 70 %,555.82
2024-10,Starobný,680.78
2024-10,Predčasný starobný,738.84
2024-10,Invalidný,398.67
2024-10,Vdovský,375
2024-10,Vdovecký,310.91
2024-10,Sirotský,203.15
2024-10,Invalidný do 70 %,307.77
2024-10,Invalidný nad 70 %,556.58
2024-11,Starobný,682.67
2024-11,Predčasný starobný,736.12
2024-11,Invalidný,399.38
2024-11,Vdovský,375.23
2024-11,Vdovecký,311.29
2024-11,Sirotský,205.99
2024-11,Invalidný do 70 %,308.52
2024-11,Invalidný nad 70 %,557.36
2024-12,Starobný,683.1
2024-12,Predčasný starobný,733.15
2024-12,Invalidný,399.78
2024-12,Vdovský,375.58
2024-12,Vdovecký,311.82
2024-12,Sirotský,207.6
2024-12,Invalidný do 70 %,309.01
2024-12,Invalidný nad 70 %,557.78
