mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2017-03,Vdovský,294476,162.47,51468
2017-03,Vdovecký,46003,110.43,5640
2017-04,Starobný,1043627,400.92,430768
2017-04,Predčasný starobný,22367,405.66,9848
2017-04,Invalidný,238150,265.97,65809
2017-04,Vdovský,294765,162.52,48399
2017-04,Vdovecký,46177,110.57,5318
2017-05,Starobný,1044871,401.08,402196
2017-05,Predčasný starobný,21247,404.84,8969
2017-05,Invalidný,238282,265.71,62059
2017-05,Vdovský,294691,162.54,45209
2017-05,Vdovecký,46279,110.64,4991
2017-06,Starobný,1046877,401.28,460334
2017-06,Predčasný starobný,20535,405.28,9891
2017-06,Invalidný,238137,265.34,70389
2017-06,Vdovský,294697,162.54,51889
2017-06,Vdovecký,46496,110.63,5686
2017-07,Starobný,1050335,401.54,404043
2017-07,Predčasný starobný,19841,404.48,8212
2017-07,Invalidný,237942,265.04,60388
2017-07,Vdovský,294974,162.47,45109
2017-07,Vdovecký,46702,110.57,4958
2017-08,Starobný,1052813,401.73,506908
2017-08,Predčasný starobný,19005,403.84,10052
2017-08,Invalidný,237413,264.73,75467
2017-08,Vdovský,294745,162.45,56724
2017-08,Vdovecký,46743,110.67,6240
2017-09,Starobný,1055168,401.96,389129
2017-09,Predčasný starobný,18313,404.14,7716
2017-09,Invalidný,237078,264.4,57442
2017-09,Vdovský,294358,162.4,43272
2017-09,Vdovecký,46736,110.68,4759
2017-10,Starobný,1057578,402.22,437860
2017-10,Predčasný starobný,17825,404.19,8448
2017-10,Invalidný,236495,264.11,64443
2017-10,Vdovský,294197,162.43,48498
2017-10,Vdovecký,46754,110.72,5403
2017-11,Starobný,1061138,402.45,418808
2017-11,Predčasný starobný,17112,403.77,7728
2017-11,Invalidný,236188,263.84,61402
2017-11,Vdovský,294672,162.6,46401
2017-11,Vdovecký,46981,110.75,5206
2017-12,Starobný,1064393,402.6,461065
2017-12,Predčasný starobný,16467,403.25,8034
2017-12,Invalidný,235706,263.62,67610
2017-12,Vdovský,294914,162.64,50709
2017-12,Vdovecký,47147,110.84,5701
2018-01,Starobný,1066257,412.25,425415
