mesiac,druh,vydavky_tis_eur
2014-04,Starobný,421868
2014-04,Predčasný starobný,9376
2014-04,Invalidný,67525
2014-04,Vdovský,50264
2014-04,Vdovecký,4881
2014-04,Sirotský,3955
2014-05,Starobný,395627
2014-05,Predčasný starobný,8492
2014-05,Invalidný,63270
2014-05,Vdovský,46906
2014-05,Vdovecký,4517
2014-05,Sirotský,3658
2014-06,Starobný,369472
2014-06,Predčasný starobný,7686
2014-06,Invalidný,59002
2014-06,Vdovský,43714
2014-06,Vdovecký,4249
2014-06,Sirotský,3372
2014-07,Starobný,403434
2014-07,Predčasný starobný,8510
2014-07,Invalidný,64797
2014-07,Vdovský,47934
2014-07,Vdovecký,4598
2014-07,Sirotský,3352
2014-08,Starobný,411341
2014-08,Predčasný starobný,8829
2014-08,Invalidný,65837
2014-08,Vdovský,49025
2014-08,Vdovecký,4659
2014-08,Sirotský,3373
2014-09,Starobný,365156
2014-09,Predčasný starobný,7783
2014-09,Invalidný,58009
2014-09,Vdovský,43394
2014-09,Vdovecký,4186
2014-09,Sirotský,2738
2014-10,Starobný,423545
2014-10,Predčasný starobný,9166
2014-10,Invalidný,67413
2014-10,Vdovský,50189
2014-10,Vdovecký,4824
2014-10,Sirotský,3622
2014-11,Starobný,366132
2014-11,Predčasný starobný,8023
2014-11,Invalidný,58192
2014-11,Vdovský,43653
2014-11,Vdovecký,4227
2014-11,Sirotský,3296
2014-12,Starobný,422581
2014-12,Predčasný starobný,9102
2014-12,Invalidný,67355
2014-12,Vdovský,50274
2014-12,Vdovecký,4907
2014-12,Sirotský,3760
2015-01,Starobný,396406
2015-01,Predčasný starobný,8425
2015-01,Invalidný,62527
2015-01,Vdovský,47136
2015-01,Vdovecký,4572
2015-01,Sirotský,3397
2015-02,Starobný,399707
2015-02,Predčasný starobný,8985
2015-02,Invalidný,63511
2015-02,Vdovský,47421
2015-02,Vdovecký,4659
2015-02,Sirotský,3559
2015-03,Starobný,373886
2015-03,Predčasný starobný,8647
2015-03,Invalidný,59065
2015-03,Vdovský,44229
2015-03,Vdovecký,4378
2015-03,Sirotský,3332
2015-04,Starobný,467694
2015-04,Predčasný starobný,10491
2015-04,Invalidný,73792
2015-04,Vdovský,55129
2015-04,Vdovecký,5365
2015-04,Sirotský,4077
2015-05,Starobný,331624
2015-05,Predčasný starobný,7255
2015-05,Invalidný,51811
2015-05,Vdovský,38858
2015-05,Vdovecký,3845
2015-05,Sirotský,2693
2015-06,Starobný,402974
2015-06,Predčasný starobný,8591
2015-06,Invalidný,63369
2015-06,Vdovský,47284
2015-06,Vdovecký,4647
2015-06,Sirotský,3219
2015-07,Starobný,432714
2015-07,Predčasný starobný,9001
2015-07,Invalidný,67709
2015-07,Vdovský,50516
2015-07,Vdovecký,5001
2015-07,Sirotský,3154
2015-08,Starobný,402176
2015-08,Predčasný starobný,8270
2015-08,Invalidný,62600
2015-08,Vdovský,46932
2015-08,Vdovecký,4634
2015-08,Sirotský,2947
2015-09,Starobný,379128
2015-09,Predčasný starobný,7596
2015-09,Invalidný,58437
2015-09,Vdovský,43720
2015-09,Vdovecký,4353
2015-09,Sirotský,2636
2015-10,Starobný,435961
2015-10,Predčasný starobný,8568
2015-10,Invalidný,66818
2015-10,Vdovský,50304
2015-10,Vdovecký,5014
2015-10,Sirotský,3398
2015-11,Starobný,381547
2015-11,Predčasný starobný,7303
2015-11,Invalidný,58223
2015-11,Vdovský,43939
2015-11,Vdovecký,4372
2015-11,Sirotský,3077
2015-12,Starobný,480710
2015-12,Predčasný starobný,8753
2015-12,Invalidný,73538
2015-12,Vdovský,55201
2015-12,Vdovecký,5512
2015-12,Sirotský,3881
2016-01,Starobný,337648
2016-01,Predčasný starobný,6633
2016-01,Invalidný,52430
2016-01,Vdovský,38493
2016-01,Vdovecký,3872
2016-01,Sirotský,2723
2016-02,Starobný,411555
2016-02,Predčasný starobný,8770
2016-02,Invalidný,64487
2016-02,Vdovský,46676
2016-02,Vdovecký,4746
2016-02,Sirotský,3327
2016-03,Starobný,422032
2016-03,Predčasný starobný,8567
2016-03,Invalidný,65682
2016-03,Vdovský,47731
2016-03,Vdovecký,4883
2016-03,Sirotský,3426
2016-04,Starobný,433606
2016-04,Predčasný starobný,8724
2016-04,Invalidný,67065
2016-04,Vdovský,48901
2016-04,Vdovecký,5039
2016-04,Sirotský,3522
2016-05,Starobný,390178
2016-05,Predčasný starobný,8180
2016-05,Invalidný,60766
2016-05,Vdovský,43650
2016-05,Vdovecký,4599
2016-05,Sirotský,2976
2016-06,Starobný,426423
2016-06,Predčasný starobný,8769
2016-06,Invalidný,66333
2016-06,Vdovský,48161
2016-06,Vdovecký,5077
2016-06,Sirotský,3216
2016-07,Starobný,410084
2016-07,Predčasný starobný,8319
2016-07,Invalidný,63114
2016-07,Vdovský,46174
2016-07,Vdovecký,4856
2016-07,Sirotský,2847
2016-08,Starobný,449225
2016-08,Predčasný starobný,9324
2016-08,Invalidný,69376
2016-08,Vdovský,50737
2016-08,Vdovecký,5414
2016-08,Sirotský,3049
2016-09,Starobný,417179
2016-09,Predčasný starobný,9055
2016-09,Invalidný,63682
2016-09,Vdovský,47283
2016-09,Vdovecký,5026
2016-09,Sirotský,2653
2016-10,Starobný,417772
2016-10,Predčasný starobný,9278
2016-10,Invalidný,64228
2016-10,Vdovský,47278
2016-10,Vdovecký,5064
2016-10,Sirotský,3098
2016-11,Starobný,394119
2016-11,Predčasný starobný,8987
2016-11,Invalidný,60536
2016-11,Vdovský,44732
2016-11,Vdovecký,4858
2016-11,Sirotský,3255
2016-12,Starobný,447581
2016-12,Predčasný starobný,9970
2016-12,Invalidný,68569
2016-12,Vdovský,50663
2016-12,Vdovecký,5494
2016-12,Sirotský,3382
2017-01,Starobný,402640
2017-01,Predčasný starobný,9476
2017-01,Invalidný,60927
2017-01,Vdovský,45560
2017-01,Vdovecký,4969
2017-01,Sirotský,2958
2017-02,Starobný,423802
2017-02,Predčasný starobný,11585
2017-02,Invalidný,64561
2017-02,Vdovský,48088
2017-02,Vdovecký,5215
2017-02,Sirotský,3161
2017-03,Starobný,454917
2017-03,Predčasný starobný,11357
2017-03,Invalidný,69900
2017-03,Vdovský,51468
2017-03,Vdovecký,5640
2017-03,Sirotský,3459
2017-04,Starobný,430768
2017-04,Predčasný starobný,9848
2017-04,Invalidný,65809
2017-04,Vdovský,48399
2017-04,Vdovecký,5318
2017-04,Sirotský,3242
2017-05,Starobný,402196
2017-05,Predčasný starobný,8969
2017-05,Invalidný,62059
2017-05,Vdovský,45209
2017-05,Vdovecký,4991
2017-05,Sirotský,2839
2017-06,Starobný,460334
2017-06,Predčasný starobný,9891
2017-06,Invalidný,70389
2017-06,Vdovský,51889
2017-06,Vdovecký,5686
2017-06,Sirotský,3206
2017-07,Starobný,404043
2017-07,Predčasný starobný,8212
2017-07,Invalidný,60388
2017-07,Vdovský,45109
2017-07,Vdovecký,4958
2017-07,Sirotský,2546
2017-08,Starobný,506908
2017-08,Predčasný starobný,10052
2017-08,Invalidný,75467
2017-08,Vdovský,56724
2017-08,Vdovecký,6240
2017-08,Sirotský,3168
2017-09,Starobný,389129
2017-09,Predčasný starobný,7716
2017-09,Invalidný,57442
2017-09,Vdovský,43272
2017-09,Vdovecký,4759
2017-09,Sirotský,2327
2017-10,Starobný,437860
2017-10,Predčasný starobný,8448
2017-10,Invalidný,64443
2017-10,Vdovský,48498
2017-10,Vdovecký,5403
2017-10,Sirotský,2976
2017-11,Starobný,418808
2017-11,Predčasný starobný,7728
2017-11,Invalidný,61402
2017-11,Vdovský,46401
2017-11,Vdovecký,5206
2017-11,Sirotský,3129
2017-12,Starobný,461065
2017-12,Predčasný starobný,8034
2017-12,Invalidný,67610
2017-12,Vdovský,50709
2017-12,Vdovecký,5701
2017-12,Sirotský,3319
2018-01,Starobný,425415
2018-01,Predčasný starobný,7233
2018-01,Invalidný,61427
2018-01,Vdovský,46493
2018-01,Vdovecký,5245
2018-01,Sirotský,2901
2018-02,Starobný,452121
2018-02,Predčasný starobný,8582
2018-02,Invalidný,64918
2018-02,Vdovský,49294
2018-02,Vdovecký,5550
2018-02,Sirotský,3069
2018-03,Starobný,480203
2018-03,Predčasný starobný,9105
2018-03,Invalidný,68328
2018-03,Vdovský,52007
2018-03,Vdovecký,5887
2018-03,Sirotský,3327
2018-04,Starobný,455566
2018-04,Predčasný starobný,7911
2018-04,Invalidný,65499
2018-04,Vdovský,49186
2018-04,Vdovecký,5569
2018-04,Sirotský,3136
2018-05,Starobný,435580
2018-05,Predčasný starobný,7476
2018-05,Invalidný,63561
2018-05,Vdovský,47020
2018-05,Vdovecký,5387
2018-05,Sirotský,2816
2018-06,Starobný,476721
2018-06,Predčasný starobný,8043
2018-06,Invalidný,69048
2018-06,Vdovský,51577
2018-06,Vdovecký,5866
2018-06,Sirotský,3078
2018-07,Starobný,429107
2018-07,Predčasný starobný,7006
2018-07,Invalidný,61269
2018-07,Vdovský,46158
2018-07,Vdovecký,5285
2018-07,Sirotský,2524
2018-08,Starobný,487731
2018-08,Predčasný starobný,7892
2018-08,Invalidný,69456
2018-08,Vdovský,52417
2018-08,Vdovecký,6009
2018-08,Sirotský,2876
2018-09,Starobný,426819
2018-09,Predčasný starobný,7420
2018-09,Invalidný,60726
2018-09,Vdovský,45869
2018-09,Vdovecký,5282
2018-09,Sirotský,2356
2018-10,Starobný,489823
2018-10,Predčasný starobný,8381
2018-10,Invalidný,70635
2018-10,Vdovský,52859
2018-10,Vdovecký,6144
2018-10,Sirotský,3440
2018-11,Starobný,458558
2018-11,Predčasný starobný,7561
2018-11,Invalidný,65795
2018-11,Vdovský,49565
2018-11,Vdovecký,5791
2018-11,Sirotský,3098
2018-12,Starobný,455098
2018-12,Predčasný starobný,7158
2018-12,Invalidný,65136
2018-12,Vdovský,49197
2018-12,Vdovecký,5700
2018-12,Sirotský,3012
2019-01,Starobný,453060
2019-01,Predčasný starobný,7270
2019-01,Invalidný,64404
2019-01,Vdovský,48753
2019-01,Vdovecký,5652
2019-01,Sirotský,2903
2019-02,Starobný,471461
2019-02,Predčasný starobný,8979
2019-02,Invalidný,66337
2019-02,Vdovský,50641
2019-02,Vdovecký,5929
2019-02,Sirotský,3016
2019-03,Starobný,467589
2019-03,Predčasný starobný,8064
2019-03,Invalidný,65140
2019-03,Vdovský,49737
2019-03,Vdovecký,5806
2019-03,Sirotský,3050
2019-04,Starobný,508764
2019-04,Predčasný starobný,8231
2019-04,Invalidný,70996
2019-04,Vdovský,53962
2019-04,Vdovecký,6320
2019-04,Sirotský,3329
2019-05,Starobný,479653
2019-05,Predčasný starobný,7682
2019-05,Invalidný,68211
2019-05,Vdovský,50890
2019-05,Vdovecký,6065
2019-05,Sirotský,3008
2019-06,Starobný,448202
2019-06,Predčasný starobný,6976
2019-06,Invalidný,62769
2019-06,Vdovský,47500
2019-06,Vdovecký,5599
2019-06,Sirotský,2731
2019-07,Starobný,481776
2019-07,Predčasný starobný,7273
2019-07,Invalidný,67335
2019-07,Vdovský,50787
2019-07,Vdovecký,6012
2019-07,Sirotský,2760
2019-08,Starobný,507550
2019-08,Predčasný starobný,7527
2019-08,Invalidný,69684
2019-08,Vdovský,53705
2019-08,Vdovecký,6344
2019-08,Sirotský,2819
2019-09,Starobný,452435
2019-09,Predčasný starobný,6597
2019-09,Invalidný,62062
2019-09,Vdovský,47590
2019-09,Vdovecký,5636
2019-09,Sirotský,2498
2019-10,Starobný,564648
2019-10,Predčasný starobný,7866
2019-10,Invalidný,77170
2019-10,Vdovský,59645
2019-10,Vdovecký,7156
2019-10,Sirotský,3620
2019-11,Starobný,432567
2019-11,Predčasný starobný,5848
2019-11,Invalidný,59269
2019-11,Vdovský,45404
2019-11,Vdovecký,5452
2019-11,Sirotský,2792
2019-12,Starobný,483616
2019-12,Predčasný starobný,6290
2019-12,Invalidný,66328
2019-12,Vdovský,50724
2019-12,Vdovecký,6067
2019-12,Sirotský,3044
2020-01,Starobný,500605
2020-01,Predčasný starobný,6413
2020-01,Invalidný,67953
2020-01,Vdovský,52498
2020-01,Vdovecký,6293
2020-01,Sirotský,3221
2020-02,Starobný,496210
2020-02,Predčasný starobný,7237
2020-02,Invalidný,67904
2020-02,Vdovský,52106
2020-02,Vdovecký,6267
2020-02,Sirotský,3143
2020-03,Starobný,472283
2020-03,Predčasný starobný,6927
2020-03,Invalidný,63942
2020-03,Vdovský,49186
2020-03,Vdovecký,5916
2020-03,Sirotský,3016
2020-04,Starobný,584764
2020-04,Predčasný starobný,8746
2020-04,Invalidný,79493
2020-04,Vdovský,61065
2020-04,Vdovecký,7354
2020-04,Sirotský,3714
2020-05,Starobný,418005
2020-05,Predčasný starobný,6565
2020-05,Invalidný,56449
