mesiac,druh,pocet
2020-04,Vdovecký,49272
2020-05,Starobný,1082406
2020-05,Predčasný starobný,14320
2020-05,Invalidný,234127
2020-05,Vdovský,290136
2020-05,Vdovecký,49217
2020-06,Starobný,1083919
2020-06,Predčasný starobný,14476
2020-06,Invalidný,233629
2020-06,Vdovský,290130
2020-06,Vdovecký,49230
2020-07,Starobný,1083978
2020-07,Predčasný starobný,14374
2020-07,Invalidný,234236
2020-07,Vdovský,289972
2020-07,Vdovecký,49210
2020-08,Starobný,1084479
2020-08,Predčasný starobný,14300
2020-08,Invalidný,235047
2020-08,Vdovský,290032
2020-08,Vdovecký,49333
2020-09,Starobný,1085879
2020-09,Predčasný starobný,13750
2020-09,Invalidný,234677
2020-09,Vdovský,289707
2020-09,Vdovecký,49295
2020-10,Starobný,1086952
2020-10,Predčasný starobný,13506
2020-10,Invalidný,234312
2020-10,Vdovský,289793
2020-10,Vdovecký,49442
2020-11,Starobný,1090315
2020-11,Predčasný starobný,13239
2020-11,Invalidný,233951
2020-11,Vdovský,290492
2020-11,Vdovecký,49740
2020-12,Starobný,1093195
2020-12,Predčasný starobný,12203
2020-12,Invalidný,233461
2020-12,Vdovský,290680
2020-12,Vdovecký,49915
2021-01,Starobný,1094184
2021-01,Predčasný starobný,11720
2021-01,Invalidný,232829
2021-01,Vdovský,290536
2021-01,Vdovecký,49867
2021-02,Starobný,1085427
2021-02,Predčasný starobný,11984
2021-02,Invalidný,232526
2021-02,Vdovský,286656
2021-02,Vdovecký,48854
2021-03,Starobný,1083038
2021-03,Predčasný starobný,11917
2021-03,Invalidný,231741
2021-03,Vdovský,285542
2021-03,Vdovecký,48605
2021-04,Starobný,1080271
2021-04,Predčasný starobný,12024
2021-04,Invalidný,230357
2021-04,Vdovský,284590
2021-04,Vdovecký,48488
2021-05,Starobný,1081483
2021-05,Predčasný starobný,11953
2021-05,Invalidný,229236
2021-05,Vdovský,284430
2021-05,Vdovecký,48503
2021-06,Starobný,1084226
2021-06,Predčasný starobný,11798
2021-06,Invalidný,228315
2021-06,Vdovský,285447
2021-06,Vdovecký,48870
2021-07,Starobný,1087176
2021-07,Predčasný starobný,11917
2021-07,Invalidný,228010
2021-07,Vdovský,287045
2021-07,Vdovecký,49520
2021-08,Starobný,1090935
2021-08,Predčasný starobný,10271
